company,location,country,industry,date,year,month,total_laid_off,percentage_laid_off,has_count,city,is_estimated
Reliance JioMart,Mumbai,India,Food,2023-05-23,2023.0,2023-05,1000.0,,True,Mumbai,False
Happay,Bengaluru,India,Finance,2023-05-12,2023.0,2023-05,160.0,0.35,True,Bengaluru,False
Toothsi,Mumbai,India,Healthcare,2023-05-12,2023.0,2023-05,20.0,,True,Mumbai,False
Cuemath,Bengaluru,India,Education,2023-05-08,2023.0,2023-05,100.0,,True,Bengaluru,False
Meesho,Bengaluru,India,Retail,2023-05-05,2023.0,2023-05,251.0,0.15,True,Bengaluru,False
Teachmint,Bengaluru,India,Education,2023-05-05,2023.0,2023-05,70.0,,True,Bengaluru,False
PharmEasy,Mumbai,India,Healthcare,2023-05-01,2023.0,2023-05,50.0,,False,Mumbai,True
Vah Vah!,Bengaluru,India,Education,2023-04-30,2023.0,2023-04,150.0,,True,Bengaluru,False
Cogito,New Delhi,India,Data,2023-04-29,2023.0,2023-04,177.0,,True,New Delhi,False
Tickertape,Bengaluru,India,Finance,2023-04-27,2023.0,2023-04,29.0,0.29,True,Bengaluru,False
Extramarks,Noida,India,Education,2023-04-26,2023.0,2023-04,300.0,,True,Noida,False
Skill Lync,Chennai,India,Education,2023-04-25,2023.0,2023-04,400.0,,True,Chennai,False
Koo,Bengaluru,India,Consumer,2023-04-20,2023.0,2023-04,78.0,0.3,True,Bengaluru,False
Open,Bengaluru,India,Finance,2023-04-20,2023.0,2023-04,47.0,,True,Bengaluru,False
FamPay,Bengaluru,India,Finance,2023-04-07,2023.0,2023-04,70.0,,False,Bengaluru,True
Bluepad,Bengaluru,India,Media,2023-04-03,2023.0,2023-04,220.0,1.0,False,Bengaluru,True
Euler Motors,New Delhi,India,Transportation,2023-04-01,2023.0,2023-04,130.0,0.1,False,New Delhi,True
Simpl,Bengaluru,India,Finance,2023-04-09,2023.0,2023-04,150.0,0.25,True,Bengaluru,False
Practo,Bengaluru,India,Healthcare,2023-04-08,2023.0,2023-04,41.0,,True,Bengaluru,False
ZestMoney,Bengaluru,India,Finance,2023-04-07,2023.0,2023-04,100.0,0.2,True,Bengaluru,False
Dunzo,Bengaluru,India,Food,2023-04-05,2023.0,2023-04,300.0,0.3,True,Bengaluru,False
1K Kirana,Gurugram,India,Retail,2023-04-04,2023.0,2023-04,600.0,0.4,True,Gurugram,False
FanClash,Gurugram,India,Consumer,2023-03-30,2023.0,2023-03,100.0,0.75,True,Gurugram,False
Unacademy,Bengaluru,India,Education,,,,3.0,0.12,True,Bengaluru,False
Smallcase,Bengaluru,India,Finance,2023-03-21,2023.0,2023-03,15.0,0.04,True,Bengaluru,False
Livspace,Bengaluru,India,Retail,2023-03-17,2023.0,2023-03,100.0,0.02,True,Bengaluru,False
Dukaan,Bengaluru,India,Retail,2023-03-15,2023.0,2023-03,56.0,0.3,True,Bengaluru,False
Pristyn Care,Gurugram,India,Healthcare,2023-03-07,2023.0,2023-03,300.0,0.15,True,Gurugram,False
UpGrad,Mumbai,India,Education,2023-03-06,2023.0,2023-03,120.0,,True,Mumbai,False
HomeLane,Bengaluru,India,Retail,2023-03-06,2023.0,2023-03,30.0,,True,Bengaluru,False
Fittr,Pune,India,Fitness,2023-03-02,2023.0,2023-03,30.0,0.11,True,Pune,False
Flipkart,Bengaluru,India,Retail,2023-03-02,2023.0,2023-03,130.0,,False,Bengaluru,True
DUX Education,Bengaluru,India,Education,2023-02-08,2023.0,2023-02,2.0,1.0,True,Bengaluru,False
SAP Labs,Bengaluru,India,Other,2023-02-24,2023.0,2023-02,300.0,,True,Bengaluru,False
Polygon,Bengaluru,India,Crypto,2023-02-21,2023.0,2023-02,100.0,0.2,True,Bengaluru,False
MyGate,Bengaluru,India,Other,2023-02-20,2023.0,2023-02,200.0,0.3,True,Bengaluru,False
Fipola,Chennai,India,Food,,,,2.0,1.0,True,Chennai,False
PhableCare,Bengaluru,India,Healthcare,2023-02-04,2023.0,2023-02,175.0,0.7,False,Bengaluru,True
TikTok India,Mumbai,India,Consumer,2023-02-10,2023.0,2023-02,40.0,,True,Mumbai,False
WeTrade,Bengaluru,India,Crypto,2023-02-09,2023.0,2023-02,150.0,1.0,False,Bengaluru,True
Pocket Aces,Mumbai,India,Media,2023-02-06,2023.0,2023-02,50.0,0.25,True,Mumbai,False
FarEye,New Delhi,India,Logistics,2023-02-03,2023.0,2023-02,90.0,,True,New Delhi,False
Byju's,Bengaluru,India,Education,2023-02-02,2023.0,2023-02,1500.0,,True,Bengaluru,False
DealShare,Bengaluru,India,Retail,2023-01-27,2023.0,2023-01,100.0,0.06,True,Bengaluru,False
Inmobi,Bengaluru,India,Marketing,2023-01-23,2023.0,2023-01,50.0,,True,Bengaluru,False
Camp K12,Gurugram,India,Education,2023-01-03,2023.0,2023-01,2.0,0.7,True,Gurugram,False
Swiggy,Bengaluru,India,Food,2023-01-20,2023.0,2023-01,380.0,0.06,True,Bengaluru,False
MediBuddy,Bengaluru,India,Healthcare,2023-01-20,2023.0,2023-01,200.0,0.08,True,Bengaluru,False
Exotel,Bengaluru,India,Support,2023-01-17,2023.0,2023-01,142.0,0.15,True,Bengaluru,False
GoMechanic,Gurugram,India,Transportation,2023-01-07,2023.0,2023-01,910.0,0.7,False,Gurugram,True
ShareChat,Bengaluru,India,Consumer,2023-01-16,2023.0,2023-01,500.0,0.2,True,Bengaluru,False
Gramophone,Indore,India,Food,2023-01-16,2023.0,2023-01,75.0,,True,Indore,False
Dunzo,Bengaluru,India,Food,2023-01-06,2023.0,2023-01,24.0,0.03,False,Bengaluru,True
Rebel Foods,Mumbai,India,Food,2023-01-06,2023.0,2023-01,16.0,0.02,False,Mumbai,True
Captain Fresh,Bengaluru,India,Food,2023-01-15,2023.0,2023-01,120.0,,True,Bengaluru,False
BharatAgri,Mumbai,India,Food,2023-01-15,2023.0,2023-01,40.0,0.43,True,Mumbai,False
DeHaat,Patna,India,Food,2023-01-05,2023.0,2023-01,40.0,0.05,False,Patna,True
Ola,Bengaluru,India,Transportation,2023-01-13,2023.0,2023-01,200.0,,True,Bengaluru,False
Skit.ai,Bengaluru,India,Support,2023-01-12,2023.0,2023-01,115.0,,True,Bengaluru,False
