company,location,country,industry,date,year,month,total_laid_off,percentage_laid_off,has_count,city,is_estimated
Mobile Premier,Bengaluru,India,Consumer,2025-09-01,2025.0,2025-09,300.0,,True,Bengaluru,False
Krutrim,Bengaluru,India,AI,2025-09-01,2025.0,2025-09,50.0,,True,Bengaluru,False
BeepKart,Bengaluru,India,Retail,2025-08-23,2025.0,2025-08,150.0,1.0,True,Bengaluru,False
Clear,Bengaluru,India,Finance,2025-08-01,2025.0,2025-08,145.0,0.16,True,Bengaluru,False
Astra,Bengaluru,India,Sales,2025-07-28,2025.0,2025-07,106.0,1.0,True,Bengaluru,False
Krutrim,Bengaluru,India,AI,2025-07-28,2025.0,2025-07,100.0,,True,Bengaluru,False
Ohm Mobility,Bengaluru,India,Transportation,2025-07-04,2025.0,2025-07,2.0,1.0,True,Bengaluru,False
CodeParrot,Bengaluru,India,Product,2025-07-07,2025.0,2025-07,500.0,1.0,False,Bengaluru,True
Blip,Bengaluru,India,Retail,2025-07-02,2025.0,2025-07,675.0,1.0,False,Bengaluru,True
Subtl AI,Hyderabad,India,AI,2025-07-03,2025.0,2025-07,950.0,1.0,False,Hyderabad,True
Cars24,Gurugram,India,Transportation,2025-05-27,2025.0,2025-05,120.0,,True,Gurugram,False
Otipy,New Delhi,India,Food,2025-05-23,2025.0,2025-05,300.0,1.0,True,New Delhi,False
VerSe Innovation,Bengaluru,India,Media,2025-05-18,2025.0,2025-05,350.0,,True,Bengaluru,False
Games 24x7,Mumbai,India,Consumer,2025-05-07,2025.0,2025-05,180.0,,True,Mumbai,False
GenWise,New Delhi,India,Other,2025-05-05,2025.0,2025-05,15.0,0.2,True,New Delhi,False
Log 9 Materials,Bengaluru,India,Manufacturing,2025-05-02,2025.0,2025-05,500.0,1.0,False,Bengaluru,True
Cars24,Gurugram,India,Transportation,2025-04-26,2025.0,2025-04,200.0,,True,Gurugram,False
Zopper,Noida,India,Finance,2025-04-17,2025.0,2025-04,100.0,,True,Noida,False
Zomato,Gurugram,India,Food,2025-04-01,2025.0,2025-04,600.0,,True,Gurugram,False
Ola Electric,Bengaluru,India,Transportation,2025-03-03,2025.0,2025-03,1000.0,,True,Bengaluru,False
ANS Commerce,Gurugram,India,Retail,2025-03-02,2025.0,2025-03,675.0,1.0,False,Gurugram,True
Pocket FM,Bengaluru,India,Media,2025-01-16,2025.0,2025-01,75.0,,True,Bengaluru,False
ShareChat,Bengaluru,India,Marketing,2025-01-15,2025.0,2025-01,27.0,0.05,True,Bengaluru,False
Thrive,Mumbai,India,Food,2024-12-04,2024.0,2024-12,799.0,1.0,False,Mumbai,True
Klub,Bengaluru,India,Finance,2024-11-29,2024.0,2024-11,60.0,,True,Bengaluru,False
Ola Electric,Bengaluru,India,Transportation,2024-11-22,2024.0,2024-11,500.0,,True,Bengaluru,False
Kuku FM,Mumbai,India,Media,2024-11-14,2024.0,2024-11,80.0,,True,Mumbai,False
Stoa,Bengaluru,India,Education,2024-11-02,2024.0,2024-11,483.0,1.0,False,Bengaluru,True
Toplyne,Bengaluru,India,Sales,2024-10-01,2024.0,2024-10,106.0,1.0,False,Bengaluru,True
BeepKart,Bengaluru,India,Retail,2024-10-08,2024.0,2024-10,130.0,0.4,True,Bengaluru,False
Greenikk,Trivandrum,India,Food,,,,3.0,1.0,True,Trivandrum,False
Aakash,New Delhi,India,Education,2024-09-18,2024.0,2024-09,80.0,,True,New Delhi,False
InsurStaq.ai,New Delhi,India,AI,2024-09-09,2024.0,2024-09,950.0,1.0,False,New Delhi,True
Dozee,Bengaluru,India,Healthcare,2024-09-02,2024.0,2024-09,40.0,,True,Bengaluru,False
Dunzo,Bengaluru,India,Food,2024-08-31,2024.0,2024-08,150.0,0.75,True,Bengaluru,False
Kenko Health,Mumbai,India,Healthcare,2024-08-03,2024.0,2024-08,2.0,1.0,True,Mumbai,False
ReshaMandi,Bengaluru,India,Food,,,,2.0,1.0,True,Bengaluru,False
ShareChat,Bengaluru,India,Marketing,2024-08-03,2024.0,2024-08,30.0,0.05,True,Bengaluru,False
Pocket FM,Bengaluru,India,Media,2024-07-27,2024.0,2024-07,200.0,,True,Bengaluru,False
WayCool,Chennai,India,Food,2024-07-26,2024.0,2024-07,200.0,,True,Chennai,False
Bluelearn,Bengaluru,India,Education,2024-07-02,2024.0,2024-07,2.0,1.0,True,Bengaluru,False
Unacademy,Bengaluru,India,Education,2024-07-02,2024.0,2024-07,250.0,,True,Bengaluru,False
Koo,Bengaluru,India,Consumer,2024-07-02,2024.0,2024-07,783.0,1.0,False,Bengaluru,True
Paytm,Noida,India,Finance,2024-06-10,2024.0,2024-06,3500.0,,True,Noida,False
Kissflow,Chennai,India,Other,2024-06-10,2024.0,2024-06,45.0,0.11,True,Chennai,False
Simpl,Bengaluru,India,Finance,2024-06-06,2024.0,2024-06,30.0,,True,Bengaluru,False
PrepLadder,New Delhi,India,Education,2024-05-08,2024.0,2024-05,145.0,0.25,True,New Delhi,False
Simpl,Bengaluru,India,Finance,2024-05-08,2024.0,2024-05,100.0,0.15,True,Bengaluru,False
Ola,Bengaluru,India,Transportation,2024-04-29,2024.0,2024-04,180.0,0.1,True,Bengaluru,False
HealthifyMe,Bengaluru,India,Healthcare,2024-04-27,2024.0,2024-04,150.0,0.27,True,Bengaluru,False
The Good Glamm,New Delhi,India,Retail,2024-04-18,2024.0,2024-04,150.0,0.15,True,New Delhi,False
Scaler,Bengaluru,India,Education,2024-04-10,2024.0,2024-04,150.0,,True,Bengaluru,False
Bolt.Earth,Bengaluru,India,Energy,2024-04-06,2024.0,2024-04,70.0,0.4,True,Bengaluru,False
CoRover,Bengaluru,India,AI,2024-04-03,2024.0,2024-04,60.0,,False,Bengaluru,True
Byju's,Bengaluru,India,Education,2024-04-02,2024.0,2024-04,500.0,0.03,True,Bengaluru,False
Lentra,Pune,India,Finance,2024-04-02,2024.0,2024-04,70.0,,False,Pune,True
Airmeet,Bengaluru,India,Marketing,2024-03-09,2024.0,2024-03,81.0,0.2,False,Bengaluru,True
Pristyn Care,Gurugram,India,Healthcare,2024-03-01,2024.0,2024-03,120.0,0.07,True,Gurugram,False
WayCool,Chennai,India,Food,2024-02-26,2024.0,2024-02,70.0,,True,Chennai,False
Wint Wealth,Nashik,India,Finance,2024-02-14,2024.0,2024-02,19.0,0.2,True,Nashik,False
Licious,Bengaluru,India,Food,2024-02-09,2024.0,2024-02,80.0,0.03,True,Bengaluru,False
BlissClub,Bengaluru,India,Retail,2024-02-09,2024.0,2024-02,21.0,0.18,True,Bengaluru,False
Muvin,Bengaluru,India,Finance,2024-02-05,2024.0,2024-02,457.0,1.0,False,Bengaluru,True
Swiggy,Bengaluru,India,Food,2024-01-25,2024.0,2024-01,400.0,0.07,True,Bengaluru,False
Cult.fit,Bengaluru,India,Fitness,2024-01-24,2024.0,2024-01,100.0,,True,Bengaluru,False
Cure.fit,Bengaluru,India,Fitness,2024-01-23,2024.0,2024-01,120.0,,True,Bengaluru,False
Inmobi,Bengaluru,India,Marketing,2024-01-11,2024.0,2024-01,125.0,0.05,True,Bengaluru,False
Flipkart,Bengaluru,India,Retail,2024-01-08,2024.0,2024-01,1100.0,0.05,True,Bengaluru,False
